name,slug,image
Fancy Fruits,gamomat-fancy-fruits,gamomat-fancy-fruits.jpg
Lock And Pop,netent-lock-and-pop,netent-lock-and-pop.jpg
Savannah Pride,redtiger-savannah-pride,redtiger-savannah-pride.jpg
Druid's Magic,netent-druids-magic,netent-druids-magic.jpg
Buckshot Wilds,netent-buckshot-wilds,netent-buckshot-wilds.jpg
Wild Rubies,gamomat-wild-rubies,gamomat-wild-rubies.jpg
Ticket To Wild,netent-ticket-to-wild,netent-ticket-to-wild.jpg
Sevens Fire,gamomat-sevens-fire,gamomat-sevens-fire.jpg
Gold Mine Mistress,redtiger-gold-mine-mistress,redtiger-gold-mine-mistress.jpg
Let It Burn,netent-let-it-burn,netent-let-it-burn.jpg
40 Finest XXL,gamomat-40-finest-xxl,gamomat-40-finest-xxl.jpg
Traveling Treasures Brazil,onetouch-traveling-treasures-brazil,onetouch-traveling-treasures-brazil.jpg
Win Blaster,gamomat-win-blaster,gamomat-win-blaster.jpg
Midnight Thirst,redtiger-midnight-thirst,redtiger-midnight-thirst.jpg
Roman Emperors,redtiger-roman-emperors,redtiger-roman-emperors.jpg
Wacky Wildlife,onetouch-wacky-wildlife,onetouch-wacky-wildlife.jpg
Rage,netent-rage,netent-rage.jpg
Sunny Sevens,gamomat-sunny-sevens,gamomat-sunny-sevens.jpg
Glow Dig,redtiger-glow-dig,redtiger-glow-dig.jpg
Midnight Romance,redtiger-midnight-romance,redtiger-midnight-romance.jpg
Mermaids,netent-mermaids,netent-mermaids.jpg
Genie's Secret,onetouch-genies-secret,onetouch-genies-secret.jpg
Monkey's Treasure,onetouch-monkeys-treasure,onetouch-monkeys-treasure.jpg
Spin Town,redtiger-spin-town,redtiger-spin-town.jpg
Ultra Rich,redtiger-ultra-rich,redtiger-ultra-rich.jpg
Elk Hunter,netent-elk-hunter,netent-elk-hunter.jpg
Watford Slot,onetouch-watford-slot,onetouch-watford-slot.jpg
Superstars,netent-superstars,netent-superstars.jpg
Serengeti Kings,netent-serengeti-kings,netent-serengeti-kings.jpg
Siren's Riches,redtiger-sirens-riches,redtiger-sirens-riches.jpg
Get The Gold InfiniReels,redtiger-get-the-gold-infinireels,redtiger-get-the-gold-infinireels.jpg
The Wild Kiss,redtiger-the-wild-kiss,redtiger-the-wild-kiss.jpg
Redline Rush,redtiger-redline-rush,redtiger-redline-rush.jpg
Royal Seven,gamomat-royal-seven,gamomat-royal-seven.jpg
Turtle Paradise,redtiger-turtle-paradise,redtiger-turtle-paradise.jpg
Sevens & Books,gamomat-sevens-books,gamomat-sevens-books.jpg
Tonatiuh's Legacy,onetouch-tonatiuhs-legacy,onetouch-tonatiuhs-legacy.jpg
Fruit Mania,gamomat-fruit-mania,gamomat-fruit-mania.jpg
5 Flaring Fruits,gamomat-5-flaring-fruits,gamomat-5-flaring-fruits.jpg
20 Flaring Fruits,gamomat-20-flaring-fruits,gamomat-20-flaring-fruits.jpg
Stacks of Jacks,gamomat-stacks-of-jacks,gamomat-stacks-of-jacks.jpg
Win Blaster Christmas Edition,gamomat-win-blaster-christmas-edition,gamomat-win-blaster-christmas-edition.jpg
