name,slug,image
Emperor Caishen,pragmatic-play-emperor-caishen,pragmatic-play-emperor-caishen.jpg
Money Money Money,pragmatic-play-money-money-money,pragmatic-play-money-money-money.jpg
Fu Fu Fu,pragmatic-play-fu-fu-fu,pragmatic-play-fu-fu-fu.jpg
Money Roll,pragmatic-play-money-roll,pragmatic-play-money-roll.jpg
Glorious Rome,pragmatic-play-glorious-rome,pragmatic-play-glorious-rome.jpg
Golden Ox,pragmatic-play-golden-ox,pragmatic-play-golden-ox.jpg
Great Reef,pragmatic-play-great-reef,pragmatic-play-great-reef.jpg
Pyramid Bonanza,pragmatic-play-pyramid-bonanza,pragmatic-play-pyramid-bonanza.jpg
Raging Bull,pragmatic-play-raging-bull,pragmatic-play-raging-bull.jpg
Rise of Samurai,pragmatic-play-rise-of-samurai,pragmatic-play-rise-of-samurai.jpg
Rise of Samurai Megaways,pragmatic-play-rise-of-samurai-megaways,pragmatic-play-rise-of-samurai-megaways.jpg
The Tiger Warrior,pragmatic-play-the-tiger-warrior,pragmatic-play-the-tiger-warrior.jpg
The Tweety House,pragmatic-play-the-tweety-house,pragmatic-play-the-tweety-house.jpg
Golden Pig,pragmatic-play-golden-pig,pragmatic-play-golden-pig.jpg
Magic Money Maze,pragmatic-play-magic-money-maze,pragmatic-play-magic-money-maze.jpg
Greedy Wolf,pragmatic-play-greedy-wolf,pragmatic-play-greedy-wolf.jpg
Coffee Wild,pragmatic-play-coffee-wild,pragmatic-play-coffee-wild.jpg
Black Bull,pragmatic-play-black-bull,pragmatic-play-black-bull.jpg
Hot To Burn Extreme,pragmatic-play-hot-to-burn-extreme,pragmatic-play-hot-to-burn-extreme.jpg
Down the Rails,pragmatic-play-down-the-rails,pragmatic-play-down-the-rails.jpg
Fire Hot 5,pragmatic-play-fire-hot-5,pragmatic-play-fire-hot-5.jpg
Fire Hot 20,pragmatic-play-fire-hot-20,pragmatic-play-fire-hot-20.jpg
Fire Hot 40,pragmatic-play-fire-hot-40,pragmatic-play-fire-hot-40.jpg
Fire Hot 100,pragmatic-play-fire-hot-100,pragmatic-play-fire-hot-100.jpg
Octobeer Fortunes,pragmatic-play-octobeer-fortunes,pragmatic-play-octobeer-fortunes.jpg
Wild Hop & Drop,pragmatic-play-wild-hop-drop,pragmatic-play-wild-hop-drop.jpg
Happy Hooves,pragmatic-play-happy-hooves,pragmatic-play-happy-hooves.jpg
Striking Hot 5,pragmatic-play-striking-hot-5,pragmatic-play-striking-hot-5.jpg
Book of Golden Sands,pragmatic-play-book-of-golden-sands,pragmatic-play-book-of-golden-sands.jpg
Crown of Fire,pragmatic-play-crown-of-fire,pragmatic-play-crown-of-fire.jpg
Floating Dragon Hold & Spin Megaways,pragmatic-play-floating-dragon-hold-spin-megaways,pragmatic-play-floating-dragon-hold-spin-megaways.jpg
Aztec Blaze,pragmatic-play-aztec-blaze,pragmatic-play-aztec-blaze.jpg
Book Of Tut Respin,pragmatic-play-book-of-tut-respin,pragmatic-play-book-of-tut-respin.jpg
Pirate Golden Age,pragmatic-play-pirate-golden-age,pragmatic-play-pirate-golden-age.jpg
Firebird Spirit,pragmatic-play-firebird-spirit,pragmatic-play-firebird-spirit.jpg
Muertos Multiplier Megaways,pragmatic-play-muertos-multiplier-megaways,pragmatic-play-muertos-multiplier-megaways.jpg
Candy Stars,pragmatic-play-candy-stars,pragmatic-play-candy-stars.jpg
Big Bass Bonanza - Keeping it Reel,pragmatic-play-big-bass-bonanza-keeping-it-reel,pragmatic-play-big-bass-bonanza-keeping-it-reel.jpg
Sword of Ares,pragmatic-play-sword-of-ares,pragmatic-play-sword-of-ares.jpg
Release the Kraken 2,pragmatic-play-release-the-kraken-2,pragmatic-play-release-the-kraken-2.jpg
Spin & Score Megaways,pragmatic-play-spin-score-megaways,pragmatic-play-spin-score-megaways.jpg
Santa's Great Gifts,pragmatic-play-santas-great-gifts,pragmatic-play-santas-great-gifts.jpg
Old Gold Miner Megaways,pragmatic-play-old-gold-miner-megaways,pragmatic-play-old-gold-miner-megaways.jpg
Towering Fortunes,pragmatic-play-towering-fortunes,pragmatic-play-towering-fortunes.jpg
Shield Of Sparta,pragmatic-play-shield-of-sparta,pragmatic-play-shield-of-sparta.jpg
Gems of Serengeti,pragmatic-play-gems-of-serengeti,pragmatic-play-gems-of-serengeti.jpg
